movie_name,Country,Release Date,Production Company,IMDB Rating,Metascore,TomatoMeter,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,Total Box Office,ROI
88 Minutes,"USA, Germany, Canada",18 Apr 2008,"Millennium Films, Emmett/Furla Films",5.9,17,16%,2008,28230100,30000000,16930884,16024515,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,111.0,32955399,109.85%
Forgetting Sarah Marshall,USA,18 Apr 2008,Apatow Productions,7.1,67,36%,2008,8240100,30000000,63172463,42000579,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,112.0,105173042,350.58%
Meet the Spartans,USA,25 Jan 2008,"New Regency Pictures, Regency Enterprises",2.8,9,29%,2008,14650100,30000000,38233676,46413155,PG-13,Historical Fiction,Original Screenplay,Live Action,Comedy,0.0,84.0,84646831,282.16%
27 Dresses,USA,18 Jan 2008,"Birnbaum/Barber, Spyglass Entertainment",6.1,47,78%,2008,129930100,30000000,76808654,83439151,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,111.0,160247805,534.16%
Baby Mama,USA,25 Apr 2008,Michaels/Goldwyn,6.0,55,33%,2008,8580100,30000000,60494212,3676235,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,99.0,64170447,213.90%
Pride and Glory,"USA, Germany",24 Oct 2008,"Solaris, O&#39;Connor Brothers",6.6,45,49%,2008,29500100,30000000,15740721,27700000,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,125.0,43440721,144.80%
The Reader,"Germany, USA",30 Jan 2009,"Mirage Enterprises, Neunte Babelsberg",7.6,58,51%,2008,16620100,32500000,34194407,78770468,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,122.0,112964875,347.58%
Doomsday,"UK, USA, South Africa, Germany",14 Mar 2008,Crystal Sky,6.0,51,62%,2008,35590100,33000000,11008770,10612418,R,Science Fiction,Original Screenplay,Live Action,Action,0.0,109.0,21621188,65.52%
Mirrors,"USA, Romania, Germany",15 Aug 2008,New Regency Pictures,6.2,35,53%,2008,18440100,35000000,30691439,46529157,R,Contemporary Fiction,Remake,Live Action,Horror,0.0,111.0,77220596,220.63%
Untraceable,USA,25 Jan 2008,Lakeshore Entertainment,6.2,32,91%,2008,19410100,35000000,28687835,23962116,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,100.0,52649951,150.43%
The Young Victoria,"UK, USA",08 Jan 2010,GK Films,7.3,64,40%,2008,106860100,35000000,11001272,20877619,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,100.0,31878891,91.08%
Superhero Movie,USA,28 Mar 2008,Dimension Films,4.5,33,26%,2008,20910100,35000000,26638520,46387782,PG-13,Super Hero,Original Screenplay,Live Action,Comedy,0.0,86.0,73026302,208.65%
Max Payne,"USA, Canada",17 Oct 2008,"Firm Films, Depth Entertainment",5.4,31,45%,2008,13720100,35000000,40689393,47085657,PG-13,Contemporary Fiction,Based on Game,Live Action,Action,0.0,103.0,87775050,250.79%
21,USA,28 Mar 2008,"Trigger Street Productions, Michael De Luca",6.8,48,43%,2008,129900100,35000000,81159365,78687064,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,122.0,159846429,456.70%
Punisher: War Zone,"USA, Canada, Germany",05 Dec 2008,"MHF Zweite Academy Film, Marvel Studios Inc., Valhalla Motion Pictures, Lionsgate Films",5.9,30,34%,2008,40290100,35000000,8050977,2106557,R,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,103.0,10157534,29.02%
Burn After Reading,"USA, UK, France",12 Sep 2008,Working Title Films,7.0,63,8%,2008,8610100,37000000,60355347,107812451,R,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy,0.0,97.0,168167798,454.51%
Space Chimps,USA,18 Jul 2008,Vanguard Animation,4.5,36,67%,2008,18730100,37000000,30105968,36923988,G,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,81.0,67029956,181.16%
Twilight,USA,21 Nov 2008,Temple Hill,5.2,56,33%,2008,1040100,37000000,192769854,209510305,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,0.0,121.0,402280159,1087.24%
Nim's Island,USA,04 Apr 2008,Walden Media,6.0,55,6%,2008,11500100,37000000,48006762,53850663,PG,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,96.0,101857425,275.29%
The Express,"USA, Germany",10 Oct 2008,Davis Entertainment,7.3,58,61%,2008,37800100,37500000,9793406,19903,PG,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,130.0,9813309,26.17%
City of Ember,USA,10 Oct 2008,"Playtone Productions, Walden Media",6.5,58,38%,2008,40790100,38000000,7873007,9958551,PG,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,90.0,17831558,46.93%
Delgo,USA,12 Dec 2008,Electric Eye Entertainment Corporation,4.3,27,58%,2008,62400100,40000000,915840,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,89.0,915840,2.29%
Made of Honor,"USA, UK",02 May 2008,Original Film,5.9,37,46%,2008,12080100,40000000,46012734,60536004,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,101.0,106548738,266.37%
Red Cliff,"China, Hong Kong, Japan, Taiwan, South Korea, USA",04 Dec 2009,"Shanghai Film Group, Beijing Film Studio, Lion Rock Productions, China Film Group Corp., Emperor Multimedia Group (EMG) [hk]",7.4,73,55%,2008,122190100,40000000,627047,119000000,R,Dramatization,Based on Real Life Events,Live Action,Action,0.0,,119627047,299.07%
Transporter 3,"France, USA, Ukraine, UK",26 Nov 2008,EuropaCorp,6.1,51,27%,2008,17930100,40000000,31715062,75520530,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,1.0,103.0,107235592,268.09%
Drillbit Taylor,USA,21 Mar 2008,"Apatow Productions, Paramount Pictures",5.7,41,22%,2008,17270100,40000000,32862104,16824159,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,102.0,49686263,124.22%
Soul Men,USA,07 Nov 2008,"Dimension Films, Friendly Films",6.4,49,63%,2008,34060100,40000000,12082391,263492,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,103.0,12345883,30.86%
The Other Boleyn Girl,"UK, USA",29 Feb 2008,Columbia Pictures,6.7,50,62%,2008,20350100,40000000,26814957,51455013,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,115.0,78269970,195.67%
Vantage Point,"USA, Mexico",22 Feb 2008,Original Film,6.6,40,49%,2008,6690100,40000000,72266306,78620023,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,89.0,150886329,377.22%
Bangkok Dangerous,"USA, Czech Republic, Thailand",05 Sep 2008,"Saturn Films, Blue Star Pictures",5.4,24,52%,2008,29990100,45000000,15298133,31300000,R,Contemporary Fiction,Remake,Live Action,Action,0.0,100.0,46598133,103.55%
Revolutionary Road,"USA, UK",23 Jan 2009,"Neal Street Productions, Evamere Entertainment, BBC",7.3,69,14%,2008,22920100,45000000,22951340,56653480,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,129.0,79604820,176.90%
Miracle at St. Anna,"Italy, USA",26 Sep 2008,"40 Acres &amp; A Mule Filmworks, Rai Cinema",6.1,37,95%,2008,40730100,45000000,7916887,1759610,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,160.0,9676497,21.50%
Babylon A.D.,"France, UK, USA",29 Aug 2008,"Canal+, M6 Films Production, StudioCanal",5.6,26,18%,2008,23220100,45000000,22532572,47683925,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Action,0.0,100.0,70216497,156.04%
Journey to the Center of the Earth,USA,11 Jul 2008,"New Line Cinema, Walden Media",5.8,57,57%,2008,4090100,45000000,101704370,141476567,PG,Science Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,92.0,243180937,540.40%
Rambo,"Germany, USA, Thailand",25 Jan 2008,Lionsgate Films,7.0,46,17%,2008,12970100,47500000,42754105,69460426,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,1.0,91.0,112214531,236.24%
Defiance,USA,16 Jan 2009,"Grosvenor Park Productions, Bedford Falls Productions",7.2,58,4%,2008,19430100,50000000,28644813,24342941,R,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,136.0,52987754,105.98%
Yes Man,"USA, UK",19 Dec 2008,"Heyday Films, Zanuck Company",6.8,46,20%,2008,4440100,50000000,97690976,128300000,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0.0,104.0,225990976,451.98%
Mamma Mia!,"USA, UK, Germany",18 Jul 2008,"Playtone Productions, Littlestar",6.4,51,14%,2008,2020100,52000000,144130063,471618709,PG-13,Contemporary Fiction,Based on Musical or Opera,Live Action,Musical,0.0,108.0,615748772,1184.13%
Seven Pounds,USA,19 Dec 2008,"Overbrook Entertainment, Escape Artists",7.6,36,55%,2008,7150100,54000000,69951824,96665504,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,123.0,166617328,308.55%
Semi-Pro,USA,29 Feb 2008,Mosaic Media Group,5.8,47,42%,2008,16900100,55000000,33479698,10500665,R,Historical Fiction,Original Screenplay,Live Action,Comedy,0.0,91.0,43980363,79.96%
The Forbidden Kingdom,"USA, China",18 Apr 2008,Casey Silver Productions,6.6,57,55%,2008,10400100,55000000,52075270,77000000,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Action,0.0,105.0,129075270,234.68%
Changeling,USA,31 Oct 2008,Malpaso Company,7.7,63,11%,2008,15870100,55000000,35739802,78065778,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,142.0,113805580,206.92%
Sex and the City,USA,30 May 2008,"Darren Star, HBO Films",5.6,53,72%,2008,1810100,57500000,152647258,262600000,R,Contemporary Fiction,Based on TV,Live Action,Comedy,0.0,145.0,415247258,722.17%
Leatherheads,"USA, Germany",04 Apr 2008,"Casey Silver Productions, Smoke House",6.0,56,27%,2008,18140100,58000000,31373938,9974690,PG-13,Historical Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,114.0,41348628,71.29%
The Spirit,USA,25 Dec 2008,"Odd Lot Entertainment, Lionsgate Films",4.8,30,26%,2008,25460100,60000000,19806188,19200000,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,102.0,39006188,65.01%
Righteous Kill,USA,12 Sep 2008,"Emmett/Furla Films, Millennium Films",6.0,36,20%,2008,13980100,60000000,40081410,38400000,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,110.0,78481410,130.80%
The Tale of Despereaux,"UK, USA",19 Dec 2008,Larger Than Life,6.1,53,25%,2008,10730100,60000000,50877145,39605172,G,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0.0,93.0,90482317,150.80%
The Happening,"USA, India",13 Jun 2008,Blinding Edge Pictures,5.0,34,15%,2008,7930100,60000000,64506874,98271510,R,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,90.0,162778384,271.30%
In the Name of the King: A Dungeon Siege Tale,"Germany, Canada, USA",11 Jan 2008,Boll KG,3.8,15,86%,2008,47080100,60000000,4775656,8457564,PG-13,Fantasy,Based on Game,Live Action,Action,0.0,127.0,13233220,22.06%
Meet Dave,USA,11 Jul 2008,"Guy Walks into a Bar Productions, Friendly Productions",5.0,43,80%,2008,34550100,60000000,11803254,38845552,PG,Science Fiction,Original Screenplay,Live Action,Adventure,0.0,90.0,50648806,84.41%
The Love Guru,"UK, Germany, USA",20 Jun 2008,"Nomoneyfun Films, Michael De Luca",3.8,24,62%,2008,17610100,62000000,32235793,7923224,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,87.0,40159017,64.77%
Step Brothers,USA,25 Jul 2008,"Apatow Productions, Mosaic Media Group",6.9,51,37%,2008,4290100,65000000,100468793,28000000,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,95.0,128468793,197.64%
Death Race,"USA, Germany, UK",22 Aug 2008,"Impact Pictures, CW Productions",6.4,43,82%,2008,15620100,65000000,36316032,36200787,R,Science Fiction,Remake,Live Action,Action,0.0,110.0,72516819,111.56%
Body of Lies,"USA, UK",10 Oct 2008,"Scott Free Productions, De Line Pictures",7.1,57,81%,2008,14240100,67500000,39394666,79161864,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,128.0,118556530,175.64%
Fool's Gold,USA,08 Feb 2008,"De Line Pictures, Bernie Goldmann",5.7,29,9%,2008,7050100,72500000,70231041,39131925,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0.0,112.0,109362966,150.85%
Wanted,"USA, Germany",27 Jun 2008,"Marc Platt Productions, Universal Pictures, Stillking Films",6.7,64,41%,2008,2400100,75000000,134508551,207907909,R,Science Fiction,Based on Comic/Graphic Novel,Live Action,Action,0.0,110.0,342416460,456.56%
Bedtime Stories,USA,25 Dec 2008,"Happy Madison Productions, Offspring Entertainment, Conman &amp; Izzy",6.0,33,55%,2008,3590100,80000000,110101975,111366960,PG,Fantasy,Original Screenplay,Live Action,Adventure,0.0,99.0,221468935,276.84%
Eagle Eye,"USA, Germany",26 Sep 2008,Kurtzman/Orci,6.6,43,87%,2008,4130100,80000000,101440743,79144516,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,117.0,180585259,225.73%
Get Smart,USA,20 Jun 2008,"Mosaic Media Group, Callahan Filmworks, Mad Chance",6.5,54,67%,2008,2560100,80000000,130319208,96420208,PG-13,Contemporary Fiction,Based on TV,Live Action,Comedy,0.0,110.0,226739416,283.42%
The Day the Earth Stood Still,"USA, Canada",12 Dec 2008,3 Arts Entertainment,5.5,40,64%,2008,5970100,80000000,79366978,158003372,PG-13,Science Fiction,Remake,Live Action,Adventure,0.0,103.0,237370350,296.71%
Four Christmases,"Germany, USA",26 Nov 2008,"New Line Cinema, Spyglass Entertainment",5.7,41,41%,2008,3040100,80000000,120146040,48165518,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,88.0,168311558,210.39%
Jumper,"USA, Canada",14 Feb 2008,"New Regency Pictures, Hypnotic",6.1,35,89%,2008,5870100,82500000,80172128,142468684,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,88.0,222640812,269.87%
Hellboy II: The Golden Army,"USA, Germany, Hungary",11 Jul 2008,"Universal Pictures, Dark Horse Entertainment",7.0,78,71%,2008,6260100,82500000,75986503,84401560,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,120.0,160388063,194.41%
Valkyrie,"USA, Germany, Italy, Spain, France, Japan, UK",25 Dec 2008,"United Artists, Bad Hat Harry",7.1,56,95%,2008,5440100,90000000,83107829,120824345,PG-13,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0.0,120.0,203932174,226.59%
Tropic Thunder,"USA, UK, Germany",13 Aug 2008,"Red Hour Films, DreamWorks SKG",7.0,71,94%,2008,3560100,90000000,110515313,80629943,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,106.0,191145256,212.38%
The Spiderwick Chronicles,USA,14 Feb 2008,Nickelodeon Movies,6.5,62,94%,2008,6890100,92500000,71195053,91644614,PG,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,96.0,162839667,176.04%
Speed Racer,"USA, Australia, Germany",09 May 2008,Silver Pictures,6.0,37,64%,2008,12600100,120000000,43945766,49448696,PG,Science Fiction,Based on TV,Live Action,Action,0.0,135.0,93394462,77.83%
Australia,"UK, Australia, USA",26 Nov 2008,Bazmark Films,6.6,53,29%,2008,11190100,130000000,49554002,165526808,PG-13,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,165.0,215080810,165.45%
Kung Fu Panda,USA,06 Jun 2008,DreamWorks Animation,7.5,74,20%,2008,790100,130000000,215434591,416475940,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,91.0,631910531,486.09%
The Incredible Hulk,USA,13 Jun 2008,"Marvel Films, Valhalla Motion Pictures",6.7,61,35%,2008,2380100,137500000,134806913,130766946,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,0.0,112.0,265573859,193.14%
Madagascar: Escape 2 Africa,USA,07 Nov 2008,"PDI, Paramount Pictures International, DreamWorks Animation",6.6,61,44%,2008,1230100,150000000,180174880,419505894,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1.0,89.0,599680774,399.79%
Hancock,USA,02 Jul 2008,"Blue Light, Overbrook Entertainment, Weed Road Pictures",6.4,49,28%,2008,670100,150000000,227946274,396287998,PG-13,Super Hero,Original Screenplay,Live Action,Action,0.0,92.0,624234272,416.16%
Bolt,USA,21 Nov 2008,"Walt Disney Pictures, Walt Disney Animation",6.8,67,88%,2008,3380100,150000000,114053579,213961450,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,96.0,328015029,218.68%
The Curious Case of Benjamin Button,USA,25 Dec 2008,Kennedy/Marshall,7.8,70,27%,2008,2680100,160000000,127509326,202122632,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,0.0,167.0,329631958,206.02%
The Mummy: Tomb of the Dragon Emperor,"USA, Germany, China, Canada",01 Aug 2008,"Sean Daniel Company, Universal Pictures, Alphaville Films, Relativity, Shanghai Film Studio",5.2,31,63%,2008,4040100,175000000,102491776,303268449,PG-13,Fantasy,Remake,Live Action,Adventure,1.0,111.0,405760225,231.86%
Indiana Jones and the Kingdom of the Crystal Skull,USA,22 May 2008,Lucasfilm Ltd.,6.1,65,18%,2008,240100,185000000,317101119,469534294,PG-13,Historical Fiction,Original Screenplay,Live Action,Adventure,1.0,123.0,786635413,425.21%
The Dark Knight,"USA, UK",18 Jul 2008,Syncopy,9.0,84,39%,2008,20100,185000000,533720947,468275260,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,152.0,1001996207,541.62%
Iron Man,"USA, Canada",02 May 2008,"Marvel Enterprises, Paramount",7.9,79,46%,2008,220100,186000000,318604126,266567421,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,0.0,126.0,585171547,314.61%
The Chronicles of Narnia: Prince Caspian,"USA, Poland, Slovenia, Czech Republic, UK",16 May 2008,"Walden Media, Silverbell Films, Mark Johnson",6.5,62,80%,2008,2070100,225000000,141621490,275719798,PG,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,1.0,144.0,417341288,185.49%
Quantum of Solace,"UK, USA",14 Nov 2008,Eon Productions Ltd.,6.6,58,51%,2008,1460100,230000000,169368427,422323651,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,1.0,106.0,591692078,257.26%
The Open Road,USA,28 Aug 2009,Odd Lot Entertainment,5.5,47,68%,2009,92330100,10000000,19716,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,,19716,0.20%
Motherhood,USA,28 Aug 2009,"John Wells Productions, Killer Films",4.6,34,82%,2009,105950100,10000000,93388,630000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,723388,7.23%
The Good Guy,USA,19 Feb 2010,Belladonna Productions LLC,5.8,47,78%,2009,135010100,10000000,100688,5772,R,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,90.0,106460,1.06%
High School,USA,23 Nov 2012,FlipZide Pictures,5.8,31,25%,2009,142550100,10000000,139034,109099,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,100.0,248133,2.48%
World's Greatest Dad,USA,24 Sep 2010,N/A,6.9,69,74%,2009,75890100,10000000,221805,73945,R,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy,0.0,,295750,2.96%
"The Goods: Live Hard, Sell Hard",USA,14 Aug 2009,Gary Sanchez Productions,5.8,39,62%,2009,30210100,10000000,15122676,174642,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,89.0,15297318,152.97%
The Joneses,USA,23 Apr 2010,Echo Lake Productions,6.5,55,61%,2009,133590100,10000000,1475746,2065819,R,,,,,0.0,96.0,3541565,35.42%
Free Style,"Canada, USA, Germany",24 Dec 2008,N/A,4.0,N/A,52%,2009,110850100,10000000,141108,580000,PG-13,,,,,0.0,,721108,7.21%
The Fourth Kind,"USA, UK",06 Nov 2009,"Universal Pictures, Chambara Pictures, Gold Circle Films",5.9,34,97%,2009,115320100,10000000,26218170,23268704,PG-13,Historical Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,105.0,49486874,494.87%
Saw VI,"Canada, USA, Australia",23 Oct 2009,Twisted Pictures,6.0,30,8%,2009,109520100,11000000,27693292,42059110,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1.0,92.0,69752402,634.11%
Just Wright,USA,14 May 2010,"Flavor Unit, Debra Martin Chase",5.9,51,84%,2009,135280100,12000000,21540363,327302,PG,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,100.0,21867665,182.23%
Triangle,"UK, Australia",16 Oct 2009,"Icon Entertainment International, Triangle Film Corporation, UK Film Council",6.9,N/A,42%,2009,105040100,12000000,0,1594955,R,,,,,0.0,,1594955,13.29%
Home,USA,27 Mar 2015,DreamWorks Animation,6.6,55,6%,2009,245740100,12000000,0,1620056,Not Rated,Factual,Based on Real Life Events,Live Action,Documentary,0.0,0.0,1620056,13.50%
Home,USA,27 Mar 2015,DreamWorks Animation,6.6,55,6%,2014,180270100,130000000,177397510,208600386,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0.0,94.0,385997896,296.92%
Home,USA,27 Mar 2015,Chernin Entertainment,7.6,79,45%,2009,245740100,12000000,0,1620056,Not Rated,Factual,Based on Real Life Events,Live Action,Documentary,0.0,0.0,1620056,13.50%
Home,USA,27 Mar 2015,Chernin Entertainment,7.6,79,45%,2014,180270100,130000000,177397510,208600386,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0.0,94.0,385997896,296.92%
Ondine,"Ireland, USA",05 Mar 2010,N/A,6.8,65,50%,2009,134650100,12000000,550472,7073,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,111.0,557545,4.65%
Two Lovers,"USA, France",20 Mar 2009,"Tempesta Films, 2929 Productions",7.0,74,10%,2009,51570100,12000000,3149034,13200000,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,109.0,16349034,136.24%
Solitary Man,USA,25 Jun 2010,"Nu Image, Paul Schiff",6.3,69,44%,2009,129040100,12500000,4360548,0,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,90.0,4360548,34.88%
The Perfect Game,"Canada, USA, Mexico",16 Apr 2010,"IndustryWorks Pictures, Prelude Pictures, Highroad",6.9,42,21%,2009,120480100,12500000,1089445,2841922,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,118.0,3931367,31.45%
Sorority Row,USA,11 Sep 2009,Karz Entertainment,5.1,24,10%,2009,37980100,12500000,11965282,14770515,R,Contemporary Fiction,Remake,Live Action,Horror,0.0,101.0,26735797,213.89%
Margaret,USA,01 Jun 2012,"Camelot Pictures, Fox Searchlight, Scott Rudin Productions, Mirage Enterprises",6.4,61,45%,2009,125740100,14000000,47185,576107,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,149.0,623292,4.45%
A Perfect Getaway,USA,07 Aug 2009,Relativity,6.5,63,29%,2009,29770100,14000000,15515460,7300000,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,97.0,22815460,162.97%
My Bloody Valentine,"USA, Canada",16 Jan 2009,Lionsgate Films,5.4,51,16%,2009,10510100,14000000,51545952,51290050,R,Contemporary Fiction,Remake,Live Action,Horror,0.0,101.0,102836002,734.54%
Easy Virtue,"UK, Canada",19 Jun 2009,Fragile Films,6.7,58,56%,2009,53310100,14000000,2656784,17880957,PG-13,Historical Fiction,Based on Play,Live Action,Romantic Comedy,0.0,96.0,20537741,146.70%
The Hurt Locker,USA,31 Jul 2009,"Voltage Pictures, Kingsgate Films, First Light Production",7.5,95,12%,2009,33690100,15000000,17017811,32876412,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,130.0,49894223,332.63%
Post Grad,USA,21 Aug 2009,Montecito Picture Company,5.3,35,13%,2009,43620100,15000000,6382178,181224,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,88.0,6563402,43.76%
Whip It,USA,02 Oct 2009,"Flower Films, Rye Road, Vincent Films",6.9,68,51%,2009,116050100,15000000,13077184,5812788,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0.0,111.0,18889972,125.93%
The Last House on the Left,"USA, UK",13 Mar 2009,Craven/Cunningham/Maddalena,6.5,42,84%,2009,17320100,15000000,32752215,13774028,R,Contemporary Fiction,Remake,Live Action,Horror,0.0,110.0,46526243,310.17%
Halloween 2,Belgium,28 Jan 2019,N/A,N/A,N/A,56%,2009,18100100,15000000,33392973,5119877,R,Fantasy,Original Screenplay,Live Action,Horror,1.0,105.0,38512850,256.75%
All About Steve,USA,04 Sep 2009,Fortis Films,4.8,17,98%,2009,19950100,15000000,33862903,6264356,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,99.0,40127259,267.52%
Whatever Works,"USA, France",03 Jul 2009,"Wild Bunch, Perdido Productions, Gravier Productions",7.1,45,23%,2009,45910100,15000000,5306706,29800000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,92.0,35106706,234.04%
The Unborn,USA,09 Jan 2009,"Platinum Dunes, Phantom Four",4.8,30,61%,2009,13010100,16000000,42670410,35538402,PG-13,Fantasy,Original Screenplay,Live Action,Horror,0.0,87.0,78208812,488.81%
Jennifer's Body,"USA, Canada",18 Sep 2009,Fox Atomic,5.2,47,38%,2009,39170100,16000000,16204793,15738608,R,Fantasy,Original Screenplay,Live Action,Thriller/Suspense,0.0,102.0,31943401,199.65%
Beastly,USA,04 Mar 2011,26 Films,5.9,34,82%,2009,114810100,17000000,27865571,10162659,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,0.0,86.0,38028230,223.70%
My Life in Ruins,"USA, Spain",05 Jun 2009,"Paramount Pictures, Sean S. Cunningham Films",6.5,22,27%,2009,39380100,17000000,8677425,11800000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,95.0,20477425,120.46%
Friday the 13th,USA,09 May 1980,Millennium Films,6.7,43,40%,2009,7850100,17000000,65002019,27668218,R,Fantasy,Remake,Live Action,Horror,1.0,97.0,92670237,545.12%
Brooklyn's Finest,USA,05 Mar 2010,Tyler Perry Company,4.5,50,47%,2009,112250100,17000000,27163593,12069640,R,Contemporary Fiction,Remake,Live Action,Thriller/Suspense,0.0,133.0,39233233,230.78%
Love Happens,"USA, Canada, UK",18 Sep 2009,Great Scott Productions Pty. Ltd.,7.3,55,21%,2009,36590100,18000000,22965110,13167904,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,119.0,36133014,200.74%
Mao's Last Dancer,Australia,01 Oct 2010,Senator Entertainment,5.0,20,68%,2009,110040100,18000000,4806750,21134687,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,117.0,25941437,144.12%
The Informers,"Germany, USA",24 Apr 2009,1492 Pictures,5.3,32,74%,2009,71140100,18000000,315000,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,,315000,1.75%
